CD34_mobilized_primary_cells 	 DNase_hypersensitivity 	 GSM530660
CD34_mobilized_primary_cells 	 DNase_hypersensitivity 	 GSM530659
CD34_mobilized_primary_cells 	 DNase_hypersensitivity 	 GSM530658
CD34_mobilized_primary_cells 	 DNase_hypersensitivity 	 GSM530657
CD34_mobilized_primary_cells 	 DNase_hypersensitivity 	 GSM493384
CD34_mobilized_primary_cells 	 DNase_hypersensitivity 	 GSM493386
CD34_mobilized_primary_cells 	 DNase_hypersensitivity 	 GSM530664
CD34_mobilized_primary_cells 	 DNase_hypersensitivity 	 GSM530663
CD34_mobilized_primary_cells 	 DNase_hypersensitivity 	 GSM530652
CD34_mobilized_primary_cells 	 DNase_hypersensitivity 	 GSM595914
CD34_mobilized_primary_cells 	 DNase_hypersensitivity 	 GSM595919
CD34_mobilized_primary_cells 	 DNase_hypersensitivity 	 GSM595918
CD34_mobilized_primary_cells 	 DNase_hypersensitivity 	 GSM595917
CD34_mobilized_primary_cells 	 DNase_hypersensitivity 	 GSM774208
CD34_mobilized_primary_cells 	 Digital_genomic_footprinting 	 GSM723022
CD34_mobilized_primary_cells 	 H3K27ac 	 GSM772885
CD34_mobilized_primary_cells 	 H3K27ac 	 GSM772870
CD34_mobilized_primary_cells 	 H3K27ac 	 GSM772894
CD34_mobilized_primary_cells 	 H3K27me3 	 GSM706844
CD34_mobilized_primary_cells 	 H3K27me3 	 GSM669945
CD34_mobilized_primary_cells 	 H3K27me3 	 GSM621664
CD34_mobilized_primary_cells 	 H3K27me3 	 GSM537649
CD34_mobilized_primary_cells 	 H3K27me3 	 GSM621431
CD34_mobilized_primary_cells 	 H3K27me3 	 GSM773047
CD34_mobilized_primary_cells 	 H3K27me3 	 GSM773046
CD34_mobilized_primary_cells 	 H3K27me3 	 GSM772951
CD34_mobilized_primary_cells 	 H3K36me3 	 GSM772865
CD34_mobilized_primary_cells 	 H3K36me3 	 GSM773042
CD34_mobilized_primary_cells 	 H3K36me3 	 GSM621459
CD34_mobilized_primary_cells 	 H3K36me3 	 GSM537651
CD34_mobilized_primary_cells 	 H3K36me3 	 GSM621666
CD34_mobilized_primary_cells 	 H3K36me3 	 GSM669955
CD34_mobilized_primary_cells 	 H3K36me3 	 GSM706843
CD34_mobilized_primary_cells 	 H3K4me1 	 GSM706845
CD34_mobilized_primary_cells 	 H3K4me1 	 GSM669907
CD34_mobilized_primary_cells 	 H3K4me1 	 GSM537650
CD34_mobilized_primary_cells 	 H3K4me1 	 GSM621451
CD34_mobilized_primary_cells 	 H3K4me1 	 GSM773043
CD34_mobilized_primary_cells 	 H3K4me1 	 GSM772734
CD34_mobilized_primary_cells 	 H3K4me3 	 GSM773041
CD34_mobilized_primary_cells 	 H3K4me3 	 GSM621404
CD34_mobilized_primary_cells 	 H3K4me3 	 GSM621439
CD34_mobilized_primary_cells 	 H3K4me3 	 GSM621437
CD34_mobilized_primary_cells 	 H3K4me3 	 GSM537652
CD34_mobilized_primary_cells 	 H3K4me3 	 GSM621665
CD34_mobilized_primary_cells 	 H3K4me3 	 GSM621667
CD34_mobilized_primary_cells 	 H3K4me3 	 GSM669943
CD34_mobilized_primary_cells 	 H3K9me3 	 GSM669995
CD34_mobilized_primary_cells 	 H3K9me3 	 GSM621663
CD34_mobilized_primary_cells 	 H3K9me3 	 GSM537663
CD34_mobilized_primary_cells 	 H3K9me3 	 GSM621436
CD34_mobilized_primary_cells 	 H3K9me3 	 GSM621399
CD34_mobilized_primary_cells 	 H3K9me3 	 GSM772938
CD34_mobilized_primary_cells 	 H3K9me3 	 GSM773049
CD34_mobilized_primary_cells 	 mRNA-Seq 	 GSM909310
CD34_primary_cells 	 ChIP-Seq_input 	 GSM486702
CD34_primary_cells 	 DNase_hypersensitivity 	 GSM493387
CD34_primary_cells 	 H3K27me3 	 GSM486706
CD34_primary_cells 	 H3K27me3 	 GSM486704
CD34_primary_cells 	 H3K36me3 	 GSM486714
CD34_primary_cells 	 H3K36me3 	 GSM486705
CD34_primary_cells 	 H3K4me1 	 GSM486708
CD34_primary_cells 	 H3K4me1 	 GSM486707
CD34_primary_cells 	 H3K4me3 	 GSM486711
CD34_primary_cells 	 H3K4me3 	 GSM486709
CD34_primary_cells 	 H3K9me3 	 GSM486710
CD34_primary_cells 	 H3K9me3 	 GSM486712
CD4_memory_primary_cells 	 ChIP-Seq_input 	 GSM772881
CD4_memory_primary_cells 	 ChIP-Seq_input 	 GSM772930
CD4_memory_primary_cells 	 ChIP-Seq_input 	 GSM621447
CD4_memory_primary_cells 	 H3K27ac 	 GSM772997
CD4_memory_primary_cells 	 H3K27ac 	 GSM772963
CD4_memory_primary_cells 	 H3K27me3 	 GSM772855
CD4_memory_primary_cells 	 H3K27me3 	 GSM772998
CD4_memory_primary_cells 	 H3K36me3 	 GSM772964
CD4_memory_primary_cells 	 H3K36me3 	 GSM772926
CD4_memory_primary_cells 	 H3K4me1 	 GSM772884
CD4_memory_primary_cells 	 H3K4me1 	 GSM772924
CD4_memory_primary_cells 	 H3K4me3 	 GSM772790
CD4_memory_primary_cells 	 H3K4me3 	 GSM772954
CD4_memory_primary_cells 	 H3K4me3 	 GSM772925
CD4_memory_primary_cells 	 H3K9me3 	 GSM772966
CD4_memory_primary_cells 	 H3K9me3 	 GSM772857
CD4_memory_primary_cells 	 MRE-Seq 	 GSM669599
CD4_memory_primary_cells 	 MRE-Seq 	 GSM613842
CD4_memory_primary_cells 	 MRE-Seq 	 GSM613903
CD4_memory_primary_cells 	 MeDIP-Seq 	 GSM613914
CD4_memory_primary_cells 	 MeDIP-Seq 	 GSM613862
CD4_memory_primary_cells 	 MeDIP-Seq 	 GSM669608
CD4_memory_primary_cells 	 mRNA-Seq 	 GSM669618
